"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Bryce Young","QB","CAR","269","19.3","2.68","244","296","-26.3","-33.8","-24.4","462","439","389","21","6","155","2.74","37"
"Marvin Mims","WR","DEN","135","25.4","3.68","107","175","-27.2","-31.4","-24","478","429","385","52","8","140","2.52","82"
"Geno Smith","QB","LVR","267","12.8","1.43","250","282","-28.9","-27.5","-38.6","507","393","496","22","6","151","4.21","17"
"Robbie Ouzts","TE","SEA","88.6","NA","0.678","NA","NA","-29.4","NA","NA","516","NA","NA","31","8","NA","NA","99"
"Theo Johnson","TE","NYG","87.9","21.9","5.4","45.8","113","-30","-62.1","-29.6","526","527","434","32","9","184","1.02","94"
"Michael Penix Jr.","QB","ATL","265","13.6","1.52","251","284","-30.4","-26.7","-36","531","384","476","23","7","147","2.44","23"
"Rashod Bateman","WR","BAL","131","19.1","4.66","103","156","-30.9","-35.5","-43.8","540","456","513","53","8","145","3.14","60"
"Jaydon Blue","RB","DAL","101","16.1","1.53","80.1","126","-31.2","-24.1","-36","545","365","475","46","12","138","3.39","45"
"Tua Tagovailoa","QB","MIA","264","21.1","2.75","235","291","-31.9","-42.2","-29.1","555","482","430","24","7","142","3.35","46"
"Trey Benson","RB","ARI","99.7","12.2","0.782","82","115","-32.7","-22.3","-47.3","565","348","521","47","12","138","3.31","24"
"Ray Davis","RB","BUF","98.9","26.9","3.56","69.6","149","-33.5","-34.7","-13.2","573","449","251","48","12","144","1.99","73"
"Matthew Stafford","QB","LAR","261","17.3","2.65","241","287","-34.6","-36.7","-33.2","583","462","458","25","7","148","4.61","51"
"Elijah Arroyo","TE","SEA","82.5","26.4","6.1","42","115","-35.5","-65.9","-27.5","592","535","420","33","9","166","3.04","97"
"Darnell Mooney","WR","ATL","127","52.7","2.03","15.2","168","-35.6","-124","-31.7","595","746","449","54","8","137","2.98","99"
"Tyjae Spears","RB","TEN","95.4","27.1","0.417","54","131","-37","-50.3","-31.1","615","502","444","49","12","150","1.84","85"
"Sam Darnold","QB","SEA","258","14.8","5.66","234","277","-37.3","-43.8","-43.5","619","486","511","26","7","152","3.99","20"
"Rico Dowdle","RB","CAR","94.9","17.1","0.657","76","127","-37.5","-28.3","-35.4","620","401","471","50","12","161","2.54","52"
"Keenan Allen","WR","LAC","125","24.3","1.17","96.6","156","-37.6","-42.1","-43.6","622","481","512","55","8","132","3.99","93"
"Tyler Allgeier","RB","ATL","94.3","6.61","1.24","85.7","106","-38.1","-18.6","-56.5","628","296","554","51","12","149","2.44","4"
"Xavier Legette","WR","CAR","123","16.4","4.49","95.1","142","-38.8","-43.6","-57.3","636","485","557","56","8","157","1.44","67"
"Braelon Allen","RB","NYJ","93","16.5","3.77","70.2","115","-39.4","-34.1","-47.7","642","442","524","52","12","132","4.68","51"
"Ja'Tavion Sanders","TE","CAR","76.4","11","1.69","60.8","92.1","-41.6","-47.1","-50.6","654","496","531","34","9","178","1.34","43"
"Cam Ward","QB","TEN","253","23.2","1.14","217","281","-42.9","-60","-39.1","663","521","499","27","7","150","4.99","60"
"Bhayshul Tuten","RB","JAC","89.3","17.1","1.17","61.1","116","-43.1","-43.2","-46.5","666","484","520","53","12","143","2.63","68"
"Will Dissly","TE","LAC","74.7","13.6","3.21","51.9","86.6","-43.2","-56.1","-56.2","667","515","553","35","9","170","1.09","83"
"Cedric Tillman","WR","CLE","119","20","1.4","80.6","136","-43.3","-58.1","-63.1","668","519","565","57","8","169","2.55","61"
"Aaron Rodgers","QB","PIT","252","23.3","45.8","232","293","-44.1","-45.6","-27.1","673","492","417","28","8","149","8.01","43"
"Brian Robinson","RB","SF","88.1","20.7","0.832","70.1","119","-44.3","-34.2","-43.1","675","443","509","54","12","125","3.83","76"
"Wan'Dale Robinson","WR","NYG","118","18.8","0.366","87.1","138","-44.7","-51.6","-61.4","679","509","563","58","8","165","2","75"
"Christian Kirk","WR","HOU","117","15.8","0.416","103","143","-45","-35.8","-56.7","684","458","555","59","8","143","2.67","43"
"Kareem Hunt","RB","KC","87.3","14.2","5.43","69.5","112","-45.1","-34.7","-49.8","685","451","526","55","13","163","2.88","46"
"Brandon Aiyuk","WR","SF","117","42.1","1.31","68","199","-45.5","-70.7","-0.717","687","551","138","60","9","141","3.74","94"
