#,Name,Team,Pos,Pos Det,Games,Health,Snaps,Tackles,Tackles Solo,Tackles Ast,TFL,Sacks,Pass Def,Ints,Fum Forc,Fum Rec,Saf,TD Ret,Ret Yds,STD PTS
810,Tavierre Thomas,MIN,DB,CB,16,,64.0,4.6,2.4,2.2,0.2,0.0,0.6,0.0,0.1,0.0,0.0,0.0,1,7.2
811,Deane Leonard,LAC,DB,LCB,13,,53.0,3.9,2.6,1.2,0.1,0.0,0.8,0.1,0.1,0.0,0.0,0.0,1,7.2
812,Mike Green,BAL,LB,OLB,17,,51.0,4.7,2.3,2.4,0.3,0.0,0.2,0.1,0.1,0.0,0.0,0.0,1,7.1
813,Dwight McGlothern,MIN,DB,CB,16,,64.0,4.3,2.3,2.0,0.2,0.0,0.6,0.0,0.1,0.0,0.0,0.0,1,7.0
814,Obo Okoronkwo,PHI,LB,OLB,17,,51.0,4.0,1.8,1.8,0.2,0.5,0.2,0.0,0.1,0.0,0.0,0.0,0,7.0
815,Siran Neal,SF,DB,CB,17,,51.0,4.2,2.2,2.0,0.2,0.0,0.7,0.1,0.1,0.0,0.0,0.0,1,7.0
816,Lonnie Johnson Jr.,LV,DB,SS,10,,40.0,4.2,2.2,2.0,0.2,0.0,0.3,0.1,0.0,0.0,0.0,0.0,2,6.6
817,J.L. Skinner,DEN,DB,SS,17,,50.0,4.4,2.3,2.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,6.5
818,Cameron Goode,MIA,LB,LOLB,17,,51.0,4.5,1.8,2.5,0.3,0.1,0.2,0.0,0.1,0.0,0.0,0.0,1,6.5
819,Jordan Hancock,BUF,DB,CB,17,Q,60.0,4.0,2.1,1.9,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.0,1,6.4
820,Brandon George,KC,LB,MLB,13,,39.0,4.7,2.2,2.4,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1,6.4
821,Damarri Mathis,CAR,DB,CB,17,,51.0,3.8,2.0,1.8,0.2,0.0,0.7,0.1,0.0,0.0,0.0,0.0,1,6.4
822,Jordan Burch,ARI,LB,LOLB,17,,51.0,4.3,1.8,2.5,0.3,0.0,0.2,0.1,0.1,0.0,0.0,0.0,1,6.2
823,Donovan McMillon,CLE,DB,SS,17,,50.0,4.2,2.2,1.9,0.2,0.0,0.3,0.0,0.1,0.0,0.0,0.0,1,6.2
824,Tyler Owens,WAS,DB,FS,17,,41.0,4.0,2.2,1.8,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,6.1
825,Elijah Ponder,NE,LB,LOLB,17,,51.0,4.3,1.8,2.5,0.3,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,6.0
826,Jared Ivey,SEA,LB,LOLB,17,,51.0,4.2,1.8,2.4,0.3,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1,5.9
827,Natrone Brooks,ATL,DB,CB,17,,51.0,3.4,1.8,1.6,0.2,0.0,0.6,0.1,0.1,0.0,0.0,0.0,1,5.9
828,Jaylen Harrell,TEN,LB,OLB,17,,51.0,3.9,1.9,2.0,0.2,0.1,0.2,0.0,0.1,0.0,0.0,0.0,1,5.8
829,Josh Simmons,KC,LB,OL,17,,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.3,0.0,0.1,7,5.8
830,Tristin McCollum,LV,DB,FS,17,,34.0,3.9,2.1,1.7,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,5.7
